구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
도봉구,방학동,방학동 공원,기타,서울특별시 도봉구 방학동 714-15,37.6644754,127.0454838,631,766
도봉구,방학동,금성윗들,어린이공원,서울특별시 도봉구 방학동 717-1,37.6676592,127.0447831,1289,2400
도봉구,방학동,도로개설잔여부 휴게공원,기타,서울특별시 도봉구 방학동 725-31,37.6611929,127.0505123,121,766
도봉구,방학동,학 골,어린이공원,서울특별시 도봉구 방학동 735-4,37.6635246,127.0369361,149,766
도봉구,쌍문동,둥근달,어린이공원,서울특별시 도봉구 쌍문동 139-101,37.6497343,127.0301124,1013,1183
도봉구,쌍문동,쌍문4동(2),기타,서울특별시 도봉구 쌍문동 245-2,37.6590534,127.0287138,793,1183
도봉구,쌍문동,쌍문4동(1),기타,서울특별시 도봉구 쌍문동 259-6,37.6569337,127.0280205,108,766
도봉구,쌍문동,꽃동네,어린이공원,서울특별시 도봉구 쌍문동 286-32,37.6506429,127.0229685,317,766
도봉구,쌍문동,샛 별,어린이공원,서울특별시 도봉구 쌍문동 315-362,37.6480726,127.0291963,331,766
도봉구,쌍문동,한전변전소 자투리땅 휴게공원,기타,서울특별시 도봉구 쌍문동 346-3,37.6482319,127.0268292,606,766
도봉구,쌍문동,쌍문1동,기타,서울특별시 도봉구 쌍문동 490-27,37.6545297,127.0163509,180,766
